"remark,\"CSV-Import-Export\"
remark,\"Date = Thu Nov 03 21:57:14 2016\"
remark,\"Version = RSLogix 5000 v20.01\"
remark,\"Owner = Avid\"
remark,\"Company = Avid Solutions\"
0.3
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,,CM_200_XV_200,\"DSP-200-001 Drain\",\"P_ValveSO\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_200_SV_200_DST,\"DSP-200-001 Drain Output Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_200_XV_201,\"PUMP PU-120-001 Casing  Drain\",\"P_ValveSO\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_200_SV_201_DST,\"PUMP PU-120-001 Casing  Drain Output Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_200_XV_202,\"Pump PU-200-002  Casing Drain\",\"P_ValveSO\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_200_SV_202_DST,\"Pump PU-200-002  Casing Drain Output Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_200_XV_204,\"PU-200-002 PROCESS Drain\",\"P_ValveSO\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_200_SV_204_DST,\"PU-200-002 PROCESS Drain Output Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_200_XV_205,\"PU-200-001 PROCESSDrain\",\"P_ValveSO\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_200_SV_205_DST,\"PU-200-001 PROCESSDrain Output Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_200_XV_905,\"CIPS to DM-200-001\",\"P_ValveSO\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_200_SV_905_DST,\"CIPS to DM-200-001 Output Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_200_ZSC_905_DST,\"CIPS to DM-200-001 ZSC Feedback Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_200_ZSO_905_DST,\"CIPS to DM-200-001 ZSO Feedback Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_200_XV_906,\"Process Feed to TP-361-002\",\"P_ValveSO\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_200_SV_906_DST,\"Process Feed to TP-361-002 Output Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
